"ISO_code","Year","SupDem","DemStock"
"KGZ",2005,-1.052369,4.788809
"KGZ",2015,-1.125852,4.34473
"KHM",2005,0.3041833,3.972453
"KHM",2015,-0.08696828,4.119791
"KOR",2005,0.1236038,16.56792
"KOR",2015,0.4400749,16.71907
"KWT",2005,-0.5725321,8.334648
"KWT",2015,-0.5365065,8.778727
"LBN",2005,0.2343708,8.077436
"LBN",2015,0.4616097,8.73351
"LBR",2005,0.7389567,8.848425
"LBR",2015,0.3242543,8.937719
"LBY",2005,-0.9794569,3.425208
"LBY",2015,-1.124849,3.44611
"LKA",2005,0.2179668,12.25897
"LKA",2015,0.2081621,13.57281
"LSO",2005,-0.2336074,11.22946
"LSO",2015,-0.3489917,10.83197
"LTU",2005,-0.5237027,15.94072
"LTU",2015,-0.9398205,15.57195
"LVA",2005,-0.02286681,14.92674
"LVA",2015,0.01447925,14.51625
"MAR",2005,-0.08977234,6.103616
"MAR",2015,-1.053128,6.304361
"MDA",2005,-0.9126733,9.081398
"MDA",2015,-0.9218005,8.757878
"MDG",2005,-0.7136127,6.749673
"MDG",2015,-0.4498175,7.033021
"MEX",2005,-0.6412291,12.01088
"MEX",2015,-1.167868,11.42166
"MKD",2005,-1.00158,7.531027
"MKD",2015,-1.018962,7.531027
"MLI",2005,-0.6243538,10.8479
"MLI",2015,-0.06057212,10.96059
"MNE",2005,0.6035054,6.295352
"MNE",2015,0.6068431,6.106462
"MNG",2005,-0.7925594,12.41381
"MNG",2015,-0.8048056,12.6027
"MOZ",2005,-1.380039,6.440827
"MOZ",2015,-1.036673,6.342486
"MUS",2005,1.935847,22.16509
"MUS",2015,2.131593,22.76592
"MWI",2005,-0.4865271,7.685407
"MWI",2015,0.5051154,7.538431
"MYS",2005,-0.4145343,6.440672
"MYS",2015,0.2419916,6.888803
"NAM",2005,-1.087266,11.96029
"NAM",2015,0.4706113,12.03597
"NER",2005,-0.1812916,10.79705
"NER",2015,0.2848236,11.03348
"NGA",2005,-0.07376049,7.968273
"NGA",2015,-0.1592881,7.985407
"NIC",2005,-0.6855809,10.68994
"NIC",2015,-0.3251784,8.709699
"NLD",2005,0.6605834,27.82809
"NLD",2015,0.4926811,29.67714
"NOR",2005,2.186254,28.74692
"NOR",2015,2.238258,30.94525
"NZL",2005,0.124522,28.96478
"NZL",2015,0.1406203,28.88611
"PAK",2005,-1.550646,6.978421
"PAK",2015,-1.621356,7.379805
"PAN",2005,-0.6604567,13.54771
"PAN",2015,-0.9547281,14.18952
"PER",2005,-0.7276295,13.19045
"PER",2015,-0.5771047,13.51554
"PHL",2005,-1.068525,11.77865
"PHL",2015,-1.37718,12.15443
"POL",2005,-0.7772151,18.98274
"POL",2015,-0.4644712,18.49349
"PRT",2005,0.2321276,23.37379
"PRT",2015,-0.01802175,23.25646
"PRY",2005,-1.41552,9.907274
"PRY",2015,-0.8054426,9.496353
"ROU",2005,-0.520208,10.88748
"ROU",2015,-0.6253833,10.58537
"RUS",2005,-1.643807,4.950404
"RUS",2015,-1.516279,4.916332
"RWA",2005,0.3383226,5.755051
"RWA",2015,-0.1854337,5.833098
"SAU",2005,-1.409265,2.269208
"SAU",2015,-1.648374,2.067972
"SDN",2005,-0.8940413,4.364318
"SDN",2015,-1.216125,3.178894
"SEN",2005,0.4951313,15.27804
"SEN",2015,1.311576,15.33175
"SGP",2005,0.7780773,10.28209
"SGP",2015,-0.001740492,9.962704
"SLE",2005,0.8128413,6.967003
"SLE",2015,0.8425001,7.286385
"SLV",2005,-0.6549001,9.226234
"SLV",2015,-0.8147302,9.0188
"SUR",2005,0.180457,19.65055
"SUR",2015,-0.684294,20.55628
"SVK",2005,0.2018626,13.09386
"SVK",2015,-0.3266605,13.09386
"SVN",2005,0.04340337,15.73631
"SVN",2015,-0.1958795,15.73631
"SWE",2005,2.10546,29.22668
"SWE",2015,1.489026,31.35798
"SWZ",2005,-0.1788435,4.762802
"SWZ",2015,-0.3179816,3.815235
"TGO",2005,0.1115356,6.462286
"TGO",2015,0.3176629,6.618895
"THA",2005,-0.05224206,8.671263
"THA",2015,0.7153463,8.66181
"TTO",2005,0.0694562,20.79164
"TTO",2015,0.1431835,21.44214
"TUN",2005,-0.5518957,7.819614
"TUN",2015,-0.6040623,7.181007
"TUR",2005,-0.2448136,12.76725
"TUR",2015,-0.8568608,13.11908
"TWN",2005,0.135074,13.59485
"TWN",2015,-0.3629711,13.32223
"TZA",2005,0.1903978,10.61037
"TZA",2015,0.2426408,10.93571
"UGA",2005,0.2843155,6.554236
"UGA",2015,0.6606613,6.902328
"UKR",2005,-1.371146,6.954771
"UKR",2015,-0.5610229,6.606679
"URY",2005,0.6799327,23.93165
"URY",2015,0.816156,24.34424
"USA",2005,0.6223717,28.4861
"USA",2015,0.2364786,27.99278
"UZB",2005,-0.7311306,3.105688
"UZB",2015,-0.8268254,1.099632
"VEN",2005,0.9533441,15.34716
"VEN",2015,1.489963,15.23213
"VNM",2005,-0.3755496,4.003324
"VNM",2015,-1.221315,4.091131
"YEM",2005,-1.274136,4.644751
"YEM",2015,-0.7482839,4.226112
"YUG",2005,-0.3819797,9.666685
"YUG",2015,-0.350565,9.751927
"ZAF",2005,-0.4087943,13.59074
"ZAF",2015,-1.019146,13.48597
"ZMB",2005,0.7422254,10.31113
"ZMB",2015,1.012358,10.5182
"ZWE",2005,0.6620025,5.73016
"ZWE",2015,0.4015092,6.250611
